,Unnamed: 0,date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,total cost,label,lat,lng
11,11,2014/5/2 0:00,2,1,850,6174,1,0,0,4,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,6.249731803,307279.1379,1,47.7351897,-122.3279333
12,12,2014/5/2 0:00,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,7.301034319,283165.2232,0,47.7426723,-122.0722997
13,13,2014/5/2 0:00,3,2.25,1580,16215,1,0,0,4,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,7.1345454,325313.5545,1,47.564273,-121.8968897
14,14,2014/5/2 0:00,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,6.740098473,322876.8465,1,47.6343833,-122.1074261
15,15,2014/5/2 0:00,3,2,1930,11947,1,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,7.405652509,297912.0631,0,47.3673889,-122.1505249
16,16,2014/5/2 0:00,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,6.221002758,340677.4008,1,47.533358,-122.3649838
17,17,2014/5/2 0:00,4,3,3110,7231,2,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,7.246575816,345433.996,1,47.3278367,-122.1910743
18,18,2014/5/2 0:00,4,1.75,1560,8700,1,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,7.027655904,361861.6843,1,47.7274452,-122.1812503
19,19,2014/5/2 0:00,3,3.25,1320,1327,2,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,6.712977807,384647.0649,1,47.6506106,-122.3829756
20,20,2014/5/2 0:00,3,2,1960,13100,1,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,7.749723765,358200.5067,1,47.4418678,-122.3402004
21,21,2014/5/2 0:00,3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,6.378198211,354759.9672,1,47.4938239,-122.1610827
22,22,2014/5/2 0:00,3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,7.903107225,400244.7706,1,47.602231,-122.1339661
23,23,2014/5/2 0:00,3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,6.369354964,381422.8528,1,47.6186964,-122.1138201
24,24,2014/5/2 0:00,4,1.5,1920,10000,1,0,0,4,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,6.441283761,394551.9094,1,47.5724857,-122.1331404
25,25,2014/5/2 0:00,4,1,1450,8800,1,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,6.708046609,424329.178,1,47.5746142,-122.1349397
26,26,2014/5/2 0:00,3,2.5,1770,1235,3,0,0,3,1600,170,2007,0,1156 N 93rd St,Seattle,WA 98103,USA,6.020616795,431010.2051,1,47.6965224,-122.3420878
27,27,2014/5/2 0:00,3,2.25,1970,35100,2,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,6.843867937,257796.15,0,47.46352,-121.9908061
28,28,2014/5/2 0:00,3,2.5,1770,2875,2,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,6.761138743,425730.8829,1,47.5631167,-122.3972606
29,29,2014/5/2 0:00,4,2.25,2160,8119,1,0,0,3,1080,1080,1966,1913,12211 SE 65th St,Bellevue,WA 98006,USA,7.235229142,400448.6138,1,47.5443615,-122.1770147
30,30,2014/5/2 0:00,3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,6.517622688,444731.8241,1,47.669699,-122.3919357
31,31,2014/5/2 0:00,3,2.5,2680,5539,2,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,7.433178443,421627.6787,1,47.4755672,-121.7348371
32,32,2014/5/2 0:00,3,1.75,1710,7320,1,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,7.396501561,418437.6374,1,47.7468045,-122.2837253
33,33,2014/5/2 0:00,5,2.5,2210,9655,1,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,7.394445538,444085.9025,1,47.7697709,-122.2222663
34,34,2014/5/2 0:00,4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,6.608323589,330944.6638,1,47.3750419,-122.0220106
35,35,2014/5/2 0:00,4,1.75,2190,125452,1,0,2,3,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,7.678168411,324270.3543,1,47.2706277,-122.0691828
36,36,2014/5/2 0:00,4,1.75,1600,6380,1,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,6.477085168,461916.5699,1,47.7010256,-122.3059126
37,37,2014/5/2 0:00,4,2.5,2860,3345,2,0,0,3,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,6.955319279,498071.1934,1,47.773513,-122.1580064
38,38,2014/5/2 0:00,3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,6.563174597,515845.8441,2,47.5746867,-122.0346475
39,39,2014/5/2 0:00,4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,7.562160105,501922.3513,2,47.6830723,-122.1139713
40,40,2014/5/2 0:00,4,2.5,3310,6500,2,0,0,3,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,7.959386377,508823.9285,2,47.5150112,-121.8699222
41,41,2014/5/2 0:00,3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,7.095021468,554007.0643,2,47.6267231,-122.0460548
42,42,2014/5/2 0:00,3,2.5,3240,33151,2,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,6.70055996,499141.7747,1,47.3255817,-122.3778645
43,43,2014/5/2 0:00,4,2.5,2730,12261,2,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,6.914442703,568230.2679,2,47.7417512,-122.2050576
44,44,2014/5/2 0:00,3,1.75,2360,7291,1,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,6.317630578,595671.409,2,47.5275026,-122.3835361
45,45,2014/5/2 0:00,4,3.25,2730,54014,1,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,6.859682624,401335.9025,1,47.513255,-122.1098596
46,46,2014/5/2 0:00,4,2.5,2820,8408,2,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,6.36074285,585009.0897,2,47.7537742,-122.3250803
47,47,2014/5/2 0:00,3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,6.605479643,622247.6108,2,47.6498106,-122.3208711
48,48,2014/5/2 0:00,4,2.75,2710,37277,2,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,6.070141424,496382.0684,1,47.4634486,-121.9873405
49,49,2014/5/2 0:00,4,2,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,7.608990677,609823.513,2,47.6780179,-122.2692144
50,50,2014/5/2 0:00,4,2,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,6.552606479,627241.6696,2,47.6812233,-122.2689874
51,51,2014/5/2 0:00,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,6.54788932,676292.2461,2,47.6845507,-122.2010494
52,52,2014/5/2 0:00,3,2.5,2390,6550,1,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,7.685164244,729203.2963,3,47.5714045,-122.4081273
53,53,2014/5/2 0:00,3,1.75,2240,10578,2,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,6.218582162,744525.0448,3,47.6953557,-122.2921764
54,54,2014/5/2 0:00,5,3.25,3660,11995,2,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,7.802356216,781153.7938,3,47.5336787,-121.8597116
55,55,2014/5/2 0:00,3,2.5,2600,4750,1,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,6.490620422,774378.6635,3,47.6832759,-122.4001495
56,56,2014/5/2 0:00,3,2,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,6.182380239,804826.2016,3,47.6746781,-122.2950956
57,57,2014/5/2 0:00,4,2.5,3310,42998,2,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,7.868323021,543559.7828,2,47.7231903,-122.130783
58,58,2014/5/2 0:00,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,6.85237045,1158880.085,3,47.6550013,-122.2778372
59,59,2014/5/3 0:00,3,1,1010,9945,1,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,6.4636882,295601.1973,0,47.5321033,-121.7629394
60,60,2014/5/3 0:00,3,2.5,1650,14054,1,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,6.520531852,343416.6789,1,47.482009,-122.0167927
61,61,2014/5/3 0:00,4,2.75,2920,6605,2,0,0,3,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,6.836105688,583491.114,2,47.4910186,-122.1439933
62,62,2014/5/4 0:00,4,2.5,2530,9933,2,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,7.073425123,319281.4085,1,47.265438,-122.2160703
63,63,2014/5/4 0:00,3,2.5,2200,7350,1,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,6.046779165,354772.0639,1,47.4395341,-122.1609594
64,64,2014/5/4 0:00,4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,6.270899122,597646.6754,2,47.6033311,-122.2891072
65,65,2014/5/4 0:00,2,2.5,2680,7392,1,0,0,3,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,6.055589845,752298.2416,3,47.7169084,-122.0262098
66,66,2014/5/4 0:00,3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,6.243772672,758864.2852,3,47.6029883,-122.2889888
67,67,2014/5/5 0:00,2,1,810,7158,1,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,7.296828326,200170.9693,0,47.4881909,-122.3248824
68,68,2014/5/5 0:00,4,1.5,1240,9600,1,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,7.591894639,209204.0049,0,47.3205621,-122.3969767
69,69,2014/5/5 0:00,2,1,1200,8063,1,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,7.72684238,192625.6237,0,47.4204027,-122.3238547
70,70,2014/5/5 0:00,3,1.75,1920,9306,1,0,0,3,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,6.049017282,236318.3097,0,47.3319198,-122.2669632
71,71,2014/5/5 0:00,3,2,1550,15040,1,0,0,4,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,6.858465508,188059.6881,0,47.4872086,-122.099055
72,72,2014/5/5 0:00,3,1,1450,6000,1,0,0,4,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,6.775490428,265344.4257,0,47.5239168,-122.2868555
73,73,2014/5/5 0:00,3,2,1050,10072,1,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,6.198315033,272973.6863,0,47.734079,-121.9760972
74,74,2014/5/5 0:00,4,2.75,2310,5000,2,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,7.595682627,309057.3039,1,47.3614424,-122.0349479
75,75,2014/5/5 0:00,3,2.5,1880,7838,2,0,0,3,1880,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,6.974961159,305173.5834,1,47.4438258,-122.1901007
76,76,2014/5/5 0:00,4,2.5,2370,6500,2,0,0,3,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,6.745857027,290543.0982,0,47.3327726,-122.1731514
77,77,2014/5/5 0:00,2,1,1140,5250,1.5,0,0,4,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,6.577604475,302819.1355,1,47.7310334,-122.3409582
78,78,2014/5/5 0:00,5,1,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,7.428402362,290787.8327,0,47.7296221,-122.2401674
79,79,2014/5/5 0:00,2,1.5,1160,1438,2,0,0,3,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,6.508539724,332836.8081,1,47.5915657,-122.2950959
80,80,2014/5/5 0:00,3,3,1571,2017,3,0,0,3,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,6.167811556,355532.0197,1,47.7337712,-122.308902
81,81,2014/5/5 0:00,4,1.75,1970,9389,1,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,7.988727564,311286.3754,1,47.7770899,-122.339098
82,82,2014/5/5 0:00,5,2.5,3090,12750,1,0,0,3,1750,1340,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,7.839322233,333883.9651,1,47.3407902,-122.3350896
83,83,2014/5/5 0:00,3,2.5,2230,4000,2,0,0,3,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,7.545823175,398666.5706,1,47.5801436,-122.3058342
84,84,2014/5/5 0:00,2,1.75,2110,9519,1,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,6.737409588,362381.5601,1,47.7504786,-122.3059352
85,85,2014/5/5 0:00,2,1,840,5510,1,0,0,3,840,0,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,7.900756381,365980.4574,1,47.5246483,-122.3909337
86,86,2014/5/5 0:00,2,3,1410,1240,2,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,6.625341022,398159.5637,1,47.522009,-122.3899365
87,87,2014/5/5 0:00,3,2.25,1410,1332,3,0,0,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,6.908543321,401724.1826,1,47.6916132,-122.3400079
88,88,2014/5/5 0:00,3,2.25,1800,36704,1,0,0,4,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,7.950086786,364670.5737,1,47.4687622,-122.0130935
89,89,2014/5/5 0:00,3,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,7.327000148,411320.143,1,47.540052,-122.026969
90,90,2014/5/5 0:00,3,2.5,1408,989,3,0,0,3,1408,0,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,6.118290625,414318.2888,1,47.6856818,-122.3152306
91,91,2014/5/5 0:00,3,2,1410,6030,1.5,0,0,4,1410,0,1930,0,901 N 97th St,Seattle,WA 98103,USA,6.595839667,413941.3794,1,47.6994583,-122.3470924
92,92,2014/5/5 0:00,2,2.5,1590,1426,2,0,0,3,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,7.330179162,414839.6424,1,47.5441595,-122.0129823
93,93,2014/5/5 0:00,5,2,1840,9240,1,0,0,4,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,6.53865355,432370.5702,1,47.730786,-122.3399588
94,94,2014/5/5 0:00,4,2,1480,3844,1.5,0,0,5,1480,0,1928,1970,519 N 104th St,Seattle,WA 98133,USA,7.602079056,430314.2882,1,47.7041959,-122.351928
95,95,2014/5/5 0:00,3,2.5,3040,4535,2,0,0,3,3040,0,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,7.516168047,473925.34,1,47.5143661,-122.1849991
96,96,2014/5/5 0:00,4,3,2340,7048,1,0,0,4,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,6.458344621,465116.3246,1,47.7307554,-122.2271292
97,97,2014/5/5 0:00,4,1.75,2010,9211,1,0,0,3,1470,540,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA,7.811246113,426777.1524,1,47.7205228,-122.1708957
98,98,2014/5/5 0:00,4,2.5,2910,6479,2,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,7.7491122,475518.2722,1,47.5402045,-121.8869334
99,99,2014/5/5 0:00,4,1,2070,7519,1,0,0,3,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,7.055712921,481630.4714,1,47.632001,-122.1189959
100,100,2014/5/5 0:00,3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,6.034671033,508342.5754,2,47.5639959,-122.0929375
101,101,2014/5/5 0:00,3,1.75,1560,5520,1,0,0,4,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,7.113558836,502756.287,2,47.6515264,-122.3992451
102,102,2014/5/5 0:00,5,2.75,2740,8426,1,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,6.09387286,512675.6633,2,47.5562423,-122.1837915
103,103,2014/5/5 0:00,4,2.5,2910,6338,2,0,0,3,2910,0,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,6.341038861,538373.6243,2,47.4804139,-122.1261331
104,104,2014/5/5 0:00,3,2.5,1940,3211,2,0,0,3,1940,0,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,6.071957364,537982.1307,2,47.564456,-122.092989
105,105,2014/5/5 0:00,3,2.5,1900,8744,2,0,0,3,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,7.310999816,506806.4741,2,47.61996,-122.042937
106,106,2014/5/5 0:00,3,2.25,2010,6000,1,0,0,3,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,6.278156551,561297.1567,2,47.6913178,-122.1151204
107,107,2014/5/5 0:00,2,1,2540,7000,1,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,6.116115297,541362.4291,2,47.5260831,-122.2607113
108,108,2014/5/5 0:00,2,1,1770,8640,1.5,0,0,3,1520,250,1949,1998,353 NW 88th St,Seattle,WA 98117,USA,7.038668541,554796.1075,2,47.6925897,-122.3628826
109,109,2014/5/5 0:00,3,1.75,1670,39639,1,0,0,4,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,7.064966637,451492.8739,1,47.5928631,-121.987984
110,110,2014/5/5 0:00,3,1.75,1880,6360,1,0,0,4,1040,840,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,7.43392241,573004.2434,2,47.6878487,-122.2860617
111,111,2014/5/5 0:00,4,1.75,2300,11700,1,0,0,4,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,6.416538914,585441.2694,2,47.6331589,-122.0939372
112,112,2014/5/5 0:00,3,2,1800,5000,1,0,0,4,1080,720,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA,7.315469218,582692.9054,2,47.6738125,-122.2971806
113,113,2014/5/5 0:00,4,2.25,1990,7712,1,0,0,3,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,7.249852838,621613.7629,2,47.5687309,-122.0871409
114,114,2014/5/5 0:00,4,2.5,2440,6651,2,0,0,3,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,7.57440661,618778.8549,2,47.6969954,-122.371391
115,115,2014/5/5 0:00,3,1.5,2160,9000,1,0,2,4,1400,760,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,6.67339354,622924.6315,2,47.7241317,-122.3688303
116,116,2014/5/5 0:00,3,2.5,1680,2000,3,0,0,3,1680,0,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,7.704273264,659917.4109,2,47.6603665,-122.2900597
117,117,2014/5/5 0:00,3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,6.6463109,698372.863,2,47.5493365,-121.9929221
118,118,2014/5/5 0:00,4,2.5,2450,4247,2,0,0,3,2450,0,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA,7.618508304,684500.1539,2,47.7050655,-122.1119573
119,119,2014/5/5 0:00,4,2.5,3180,21904,2,0,3,3,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,6.736605589,692213.3541,2,47.5149566,-122.1173811
120,120,2014/5/5 0:00,4,2.5,2800,5900,1,0,0,3,1660,1140,1963,2008,7052 39th Ave NE,Seattle,WA 98115,USA,7.553723257,713233.2971,3,47.6809207,-122.2858775
121,121,2014/5/5 0:00,4,2.5,2120,10202,1,0,0,4,1620,500,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,7.402041283,732530.7011,3,47.585775,-122.169997
122,122,2014/5/5 0:00,3,2,2350,5700,1.5,0,0,4,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,7.767724558,745116.6405,3,47.638952,-122.3100525
123,123,2014/5/5 0:00,4,2.5,2730,10281,2,0,2,3,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,6.387260194,773148.4886,3,47.6226876,-122.0291083
124,124,2014/5/5 0:00,3,2.5,3240,7857,2,0,0,3,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,6.909407491,761014.403,3,47.585488,-122.0383484
125,125,2014/5/5 0:00,5,2.5,3180,13806,2,0,0,4,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,6.663166777,717173.6405,3,47.6519338,-122.1821678
126,126,2014/5/5 0:00,6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,7.871275749,786247.104,3,47.6024775,-122.295228
127,127,2014/5/5 0:00,4,2.5,3400,9692,2,0,0,3,3400,0,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,7.792567538,794377.1999,3,47.7079903,-122.1092431
128,128,2014/5/5 0:00,4,3,2170,4000,2,0,0,4,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,7.088075843,817461.7207,3,47.6195278,-122.2920538
129,129,2014/5/5 0:00,4,3,3690,9892,2,0,0,3,3690,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,6.062798931,854336.4381,3,47.5935706,-121.9822084
130,130,2014/5/5 0:00,4,4.25,4420,5750,2,0,0,3,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,7.821919405,864533.5493,3,47.5403086,-122.0728519
131,131,2014/5/5 0:00,5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,6.28604995,873412.4585,3,47.5396633,-122.0728457
132,132,2014/5/5 0:00,5,2.75,3190,16920,1,0,3,3,1690,1500,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,7.330325503,948971.6671,3,47.5641071,-122.1599131
133,133,2014/5/5 0:00,5,3.5,4010,8510,2,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,6.285942376,1369797.782,3,47.6577501,-122.2858489
134,134,2014/5/5 0:00,7,8,13540,307752,3,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,7.442177152,1447812.808,3,47.6674867,-121.9857535
135,135,2014/5/6 0:00,3,1.5,1420,8580,1,0,0,3,1420,0,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA,7.274198783,115819.9906,0,47.3075877,-122.3620495
136,136,2014/5/6 0:00,3,1,1010,7034,1,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,USA,6.203209507,131740.9256,0,47.4900101,-122.2205382
137,137,2014/5/6 0:00,3,1.5,800,8850,1,0,0,4,800,0,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA,7.99793349,134140.7103,0,47.3266492,-122.3480581
138,138,2014/5/6 0:00,3,1.75,1690,7735,1,0,0,4,1060,630,1976,1992,30020 43rd Pl S,Auburn,WA 98001,USA,6.403011363,155137.5948,0,47.3324225,-122.2799192
139,139,2014/5/6 0:00,3,1.75,1850,7684,1,0,0,3,1320,530,1979,2014,33945 28th Pl SW,Federal Way,WA 98023,USA,7.304641389,217780.493,0,47.2974897,-122.3698995
140,140,2014/5/6 0:00,2,1,900,5160,1,0,0,3,900,0,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA,6.026750745,203128.2934,0,47.5249613,-122.3560889
